 number_of_ancestors | child_occurences 
                1494 |                1
                1495 |                6
                1502 |                3
                1503 |               18
                1505 |                1
                1506 |                1
                1510 |                1
                1511 |                6
                1513 |                2
                1514 |               12
                1518 |                1
                1519 |                6
                1521 |                1
                1522 |                2
                1523 |                5
                1531 |                7
                1532 |               37
                1534 |                1
                1535 |                6
                1538 |                3
                1539 |               17
                1540 |                1
                1541 |                6
                1542 |                1
                1546 |                1
                1547 |                5
                1550 |                1
                1551 |                6
                1564 |                1
                1565 |                5
                1567 |                1
                1568 |                4
                1574 |                2
                1575 |               12
                1576 |                1
                1577 |                8
                1578 |                2
                1582 |                5
                1583 |               29
                1585 |                1
                1586 |                1
                1591 |                3
                1592 |               14
                1594 |                3
                1595 |               16
                1603 |                1
                1604 |                4
                1618 |                1
                1619 |                6
                1662 |                3
                1663 |               18
                1664 |                6
                1665 |                1
                1666 |                1
                1670 |                1
                1671 |                5
                1678 |                1
                1679 |                6
                1681 |                1
                1682 |                1
                1690 |                3
                1691 |               16
                1699 |                1
                1700 |                4
                1723 |                1
                1724 |                5
                1726 |                1
                1727 |                5
                1734 |                2
                1735 |               10
                1750 |                5
                1751 |               27
                1753 |                1
                1754 |                1
                1759 |                2
                1760 |                8
                1768 |                1
                1769 |                6
                1776 |                1
                1777 |                7
                1778 |                4
                1780 |                4
                1781 |               21
                1798 |                1
                1799 |                6
                1816 |                2
                1817 |               10
                1822 |                3
                1823 |               15
                1825 |                1
                1826 |                6
                1828 |                1
                1829 |                6
                1830 |                1
                1831 |                4
                1846 |                3
                1847 |               15
                1870 |                1
                1871 |                6
                1878 |                1
                1879 |                6
                1880 |                4
                1888 |                2
                1889 |               12
                1891 |                2
                1892 |                2
                1927 |                2
                1928 |                8
                1933 |                1
                1934 |                5
                1942 |                1
                1943 |                5
                1945 |                1
                1946 |                6
                1951 |                1
                1952 |                4
                1954 |                1
                1955 |                6
                1969 |                4
                1970 |               20
                1972 |                2
                1973 |               10
                1978 |                3
                1979 |               16
                1982 |                2
                1983 |               11
                1985 |                1
                1986 |                1
                1987 |                1
                1988 |                4
                2014 |                1
                2015 |                5
                2022 |                1
                2023 |                4
                2030 |                1
                2031 |                5
                2050 |                3
                2051 |               17
                2066 |                1
                2067 |                5
                2068 |                1
                2069 |                5
                2074 |                1
                2075 |                6
                2077 |                1
                2078 |                6
                2079 |                5
                2086 |                1
                2087 |                5
                2110 |                1
                2111 |                6
                2119 |                2
                2120 |               11
                2122 |                1
                2123 |                1
                2131 |                3
                2132 |               12
                2154 |                2
                2155 |               12
                2158 |                1
                2159 |                6
                2166 |                1
                2167 |                6
                2176 |                3
                2177 |               17
                2188 |                4
                2189 |               22
                2191 |                1
                2192 |                1
                2194 |                1
                2195 |                5
                2197 |                2
                2198 |                8
                2218 |                1
                2219 |                6
                2230 |                1
                2231 |                5
                2254 |                3
                2255 |               17
                2257 |                2
                2258 |                2
                2262 |                1
                2263 |                4
                2266 |                1
                2267 |                5
                2278 |                3
                2279 |               17
                2281 |                2
                2282 |                2
                2284 |                1
                2285 |                5
                2286 |                1
                2287 |                5
                2302 |                1
                2303 |                5
                2320 |                1
                2321 |                5
                2326 |                1
                2327 |                6
                2347 |                1
                2348 |                6
                2358 |                1
                2359 |                4
                2365 |                1
                2366 |                6
                2374 |                6
                2375 |               33
                2383 |                2
                2384 |                9
                2392 |                1
